attack,mitigation_list,mitigations_generated,model,created_at,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration
Manipulating Hidden Fields,[],"{
  ""mitigations"": [
    {
      ""name"": ""Server-side Input Validation"",
      ""priority"": 1
    },
    {
      ""name"": ""Do not rely solely on hidden fields for security"",
      ""priority"": 2
    },
    {
      ""name"": ""Enforce access control on the server side"",
      ""priority"": 3
    },
    {
      ""name"": ""Use session-based tokens"",
      ""priority"": 4
    },
    {
      ""name"": ""Encrypt sensitive data in hidden fields"",
      ""priority"": 5
    },
    {
      ""name"": ""Implement server-side state management"",
      ""priority"": 6
    },
    {
      ""name"": ""Use secure communication channels"",
      ""priority"": 7
    },
    {
      ""name"": ""Regular security testing and code reviews"",
      ""priority"": 8
    }
  ]
}",claude-3-5-sonnet-20241022,1732896859.8996649,10353610038,,,,,
Leveraging Race Conditions via Symbolic Links,"['Use safe libraries when creating temporary files. For instance the standard library function mkstemp can be used to safely create temporary files. For shell scripts, the system utility mktemp does the same thing. ', 'Access to the directories should be restricted as to prevent attackers from manipulating the files. Denying access to a file can prevent an attacker from replacing that file with a link to a sensitive file. ', 'Follow the principle of least privilege when assigning access rights to files. ', 'Ensure good compartmentalization in the system to provide protected areas that can be trusted. ']","{
  ""mitigations"": [
    {
      ""name"": ""Use safe libraries and functions for temporary file creation (e.g., mkstemp, mktemp)"",
      ""priority"": 1
    },
    {
      ""name"": ""Implement strict directory access controls to prevent file manipulation"",
      ""priority"": 2
    },
    {
      ""name"": ""Apply principle of least privilege for file access rights"",
      ""priority"": 3
    },
    {
      ""name"": ""Ensure proper system compartmentalization for trusted areas"",
      ""priority"": 4
    },
    {
      ""name"": ""Implement file integrity monitoring"",
      ""priority"": 5
    },
    {
      ""name"": ""Use secure file operations that are atomic"",
      ""priority"": 6
    },
    {
      ""name"": ""Regular security audits of file system permissions"",
      ""priority"": 7
    },
    {
      ""name"": ""Implement logging and monitoring of file system operations"",
      ""priority"": 8
    }
  ]
}",claude-3-5-sonnet-20241022,1732896870.8708472,12999515056,,,,,
Fuzzing for application mapping,"[""Design: Construct a 'code book' for error messages. When using a code book, application error messages aren't generated in string or stack trace form, but are catalogued and replaced with a unique (often integer-based) value 'coding' for the error. Such a technique will require helpdesk and hosting personnel to use a 'code book' or similar mapping to decode application errors/logs in order to respond to them normally. "", ""Design: wrap application functionality (preferably through the underlying framework) in an output encoding scheme that obscures or cleanses error messages to prevent such attacks. Such a technique is often used in conjunction with the above 'code book' suggestion. "", 'Implementation: Obfuscate server fields of HTTP response. ', 'Implementation: Hide inner ordering of HTTP response header. ', 'Implementation: Customizing HTTP error codes such as 404 or 500. ', 'Implementation: Hide HTTP response header software information filed. ', ""Implementation: Hide cookie's software information filed. "", ""Implementation: Obfuscate database type in Database API's error message. ""]","{
  ""mitigations"": [
    {
      ""name"": ""Design: Construct a 'code book' for error messages"",
      ""priority"": 1
    },
    {
      ""name"": ""Design: wrap application functionality in an output encoding scheme"",
      ""priority"": 2
    },
    {
      ""name"": ""Implementation: Hide HTTP response header software information filed"",
      ""priority"": 3
    },
    {
      ""name"": ""Implementation: Obfuscate server fields of HTTP response"",
      ""priority"": 4
    },
    {
      ""name"": ""Implementation: Hide inner ordering of HTTP response header"",
      ""priority"": 5
    },
    {
      ""name"": ""Implementation: Customizing HTTP error codes such as 404 or 500"",
      ""priority"": 6
    },
    {
      ""name"": ""Implementation: Hide cookie's software information filed"",
      ""priority"": 7
    },
    {
      ""name"": ""Implementation: Obfuscate database type in Database API's error message"",
      ""priority"": 8
    }
  ]
}",claude-3-5-sonnet-20241022,1732896884.5427563,11515015125,,,,,
Load Value Injection,"['Do not allow the forwarding of data resulting from a faulting or assisted instruction. Some current mitigations claim to zero out the forwarded data, but this mitigation still does not suffice. ', 'Insert explicit lfence speculation barriers in software before potentially faulting or assisted loads. This halts transient execution until all previous instructions have been executed and ensures that the architecturally correct value is forwarded. ']","{
  ""mitigations"": [
    {
      ""name"": ""Block forwarding of faulting/assisted instruction data"",
      ""priority"": 1
    },
    {
      ""name"": ""Insert lfence speculation barriers before potentially faulting loads"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement hardware-level memory protection mechanisms"",
      ""priority"": 3
    },
    {
      ""name"": ""Use secure CPU microcode updates"",
      ""priority"": 4
    },
    {
      ""name"": ""Implement memory access validation"",
      ""priority"": 5
    },
    {
      ""name"": ""Enable security-focused compiler optimizations"",
      ""priority"": 6
    },
    {
      ""name"": ""Regular security audits of memory handling code"",
      ""priority"": 7
    }
  ]
}",claude-3-5-sonnet-20241022,1732896896.7366424,9767060279,,,,,
Transaction or Event Tampering via Application API Manipulation,[],"{
  ""mitigations"": [
    {
      ""name"": ""Implement Strong Authentication"",
      ""priority"": 1
    },
    {
      ""name"": ""Use Strong Session Management"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement Input Validation"",
      ""priority"": 3
    },
    {
      ""name"": ""Use Cryptographic Signatures"",
      ""priority"": 4
    },
    {
      ""name"": ""Implement Proper Access Controls"",
      ""priority"": 5
    },
    {
      ""name"": ""Use Secure Communication Protocols"",
      ""priority"": 6
    },
    {
      ""name"": ""Implement Request Rate Limiting"",
      ""priority"": 7
    },
    {
      ""name"": ""Maintain Audit Logs"",
      ""priority"": 8
    },
    {
      ""name"": ""Implement API Versioning"",
      ""priority"": 9
    },
    {
      ""name"": ""Regular Security Testing"",
      ""priority"": 10
    }
  ]
}",claude-3-5-sonnet-20241022,1732896907.1841977,11910340070,,,,,
Content Spoofing Via Application API Manipulation,[],"{
  ""mitigations"": [
    {
      ""name"": ""Input Validation for Special Characters"",
      ""priority"": 1
    },
    {
      ""name"": ""API Request Authentication"",
      ""priority"": 2
    },
    {
      ""name"": ""Content Security Policy Implementation"",
      ""priority"": 3
    },
    {
      ""name"": ""Sanitize API Response Data"",
      ""priority"": 4
    },
    {
      ""name"": ""Rate Limiting of API Requests"",
      ""priority"": 5
    },
    {
      ""name"": ""API Version Control"",
      ""priority"": 6
    },
    {
      ""name"": ""Regular Security Audits"",
      ""priority"": 7
    },
    {
      ""name"": ""Response Data Encryption"",
      ""priority"": 8
    },
    {
      ""name"": ""Implement API Gateway"",
      ""priority"": 9
    },
    {
      ""name"": ""Logging and Monitoring"",
      ""priority"": 10
    }
  ]
}",claude-3-5-sonnet-20241022,1732896919.7314675,10875468254,,,,,
Navigation Remapping To Propagate Malicious Content,[],"{
  ""mitigations"": [
    {
      ""name"": ""Implement input validation on any URL parameters"",
      ""priority"": 1
    },
    {
      ""name"": ""Use strong authentication and access controls"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement proper session management"",
      ""priority"": 3
    },
    {
      ""name"": ""Sanitize and validate all client-side redirects"",
      ""priority"": 4
    },
    {
      ""name"": ""Use whitelisting for allowed redirect destinations"",
      ""priority"": 5
    },
    {
      ""name"": ""Implement secure URL parsing and handling"",
      ""priority"": 6
    },
    {
      ""name"": ""Monitor and log all redirect attempts"",
      ""priority"": 7
    },
    {
      ""name"": ""Use HTTPS to prevent URL manipulation in transit"",
      ""priority"": 8
    }
  ]
}",claude-3-5-sonnet-20241022,1732896931.3547142,11809275865,,,,,
Application API Button Hijacking,[],"{
  ""mitigations"": [
    {
      ""name"": ""Implement Input Validation"",
      ""priority"": 1
    },
    {
      ""name"": ""Use Strong Authentication and Authorization"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement Proper Session Management"",
      ""priority"": 3
    },
    {
      ""name"": ""Implement API Security Controls"",
      ""priority"": 4
    },
    {
      ""name"": ""Use Secure Communication Protocols"",
      ""priority"": 5
    },
    {
      ""name"": ""Implement Request Rate Limiting"",
      ""priority"": 6
    },
    {
      ""name"": ""Regular Security Testing and Code Review"",
      ""priority"": 7
    },
    {
      ""name"": ""Implement CSRF Protection"",
      ""priority"": 8
    },
    {
      ""name"": ""Monitor API Usage and Implement Logging"",
      ""priority"": 9
    }
  ]
}",claude-3-5-sonnet-20241022,1732896943.8419197,10715523242,,,,,
Dictionary-based Password Attack,"['Create a strong password policy and ensure that your system enforces this policy. ', 'Implement an intelligent password throttling mechanism. Care must be taken to assure that these mechanisms do not excessively enable account lockout attacks such as <a href=""/data/definitions/2.html"">CAPEC-2</a>. ', 'Leverage multi-factor authentication for all authentication services. ']","{
  ""mitigations"": [
    {
      ""name"": ""Implement Multi-Factor Authentication (MFA)"",
      ""priority"": 1
    },
    {
      ""name"": ""Create and Enforce Strong Password Policy"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement Password Complexity Requirements"",
      ""priority"": 3
    },
    {
      ""name"": ""Implement Intelligent Password Throttling"",
      ""priority"": 4
    },
    {
      ""name"": ""Enable Account Lockout Policies"",
      ""priority"": 5
    },
    {
      ""name"": ""Use Secure Password Hashing Algorithms"",
      ""priority"": 6
    },
    {
      ""name"": ""Implement CAPTCHA or Similar Human Verification"",
      ""priority"": 7
    },
    {
      ""name"": ""Monitor and Log Failed Login Attempts"",
      ""priority"": 8
    },
    {
      ""name"": ""Regular Password Change Requirements"",
      ""priority"": 9
    },
    {
      ""name"": ""Prevent Use of Common or Previously Breached Passwords"",
      ""priority"": 10
    }
  ]
}",claude-3-5-sonnet-20241022,1732896955.2331731,12295334577,,,,,
Rainbow Table Password Cracking,"['Use salt when computing password hashes. That is, concatenate the salt (random bits) with the original password prior to hashing it. ']","{
  ""mitigations"": [
    {
      ""name"": ""Use salt when computing password hashes"",
      ""priority"": 1
    },
    {
      ""name"": ""Implement strong password hashing algorithms (e.g., bcrypt, Argon2, PBKDF2)"",
      ""priority"": 2
    },
    {
      ""name"": ""Use unique salt values for each password"",
      ""priority"": 3
    },
    {
      ""name"": ""Ensure salt length is sufficiently long (at least 16 bytes)"",
      ""priority"": 4
    },
    {
      ""name"": ""Store salt values securely alongside password hashes"",
      ""priority"": 5
    },
    {
      ""name"": ""Enforce strong password policies"",
      ""priority"": 6
    },
    {
      ""name"": ""Implement rate limiting for login attempts"",
      ""priority"": 7
    },
    {
      ""name"": ""Regular password rotation and monitoring"",
      ""priority"": 8
    }
  ]
}",claude-3-5-sonnet-20241022,1732896968.246371,11061161279,,,,,
Password Spraying,"['Create a strong password policy and ensure that your system enforces this policy. ', 'Implement an intelligent password throttling mechanism. Care must be taken to assure that these mechanisms do not excessively enable account lockout attacks such as <a href=""/data/definitions/2.html"">CAPEC-2</a>. ', 'Leverage multi-factor authentication for all authentication services and prior to granting an entity access to the domain network. ']","{
  ""mitigations"": [
    {
      ""name"": ""Implement Multi-Factor Authentication (MFA)"",
      ""priority"": 1
    },
    {
      ""name"": ""Create and Enforce Strong Password Policy"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement Intelligent Password Throttling"",
      ""priority"": 3
    },
    {
      ""name"": ""Monitor and Alert on Failed Login Attempts"",
      ""priority"": 4
    },
    {
      ""name"": ""Implement Account Lockout Policies"",
      ""priority"": 5
    },
    {
      ""name"": ""Use CAPTCHA for Login Attempts"",
      ""priority"": 6
    },
    {
      ""name"": ""Regular Security Awareness Training"",
      ""priority"": 7
    },
    {
      ""name"": ""Implement IP-based Rate Limiting"",
      ""priority"": 8
    },
    {
      ""name"": ""Use Password Blacklists"",
      ""priority"": 9
    },
    {
      ""name"": ""Regular Password Security Audits"",
      ""priority"": 10
    }
  ]
}",claude-3-5-sonnet-20241022,1732896979.9719367,11105516195,,,,,
Try Common or Default Usernames and Passwords,"['Delete all default account credentials that may be put in by the product vendor. ', 'Implement a password throttling mechanism. This mechanism should take into account both the IP address and the log in name of the user. ', 'Put together a strong password policy and make sure that all user created passwords comply with it. Alternatively automatically generate strong passwords for users. ', 'Passwords need to be recycled to prevent aging, that is every once in a while a new password must be chosen. ']","{
  ""mitigations"": [
    {
      ""name"": ""Delete all default account credentials from vendor"",
      ""priority"": 1
    },
    {
      ""name"": ""Implement strong password policy with automatic compliance checks"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement password throttling mechanism based on IP and username"",
      ""priority"": 3
    },
    {
      ""name"": ""Implement automated password generation system"",
      ""priority"": 4
    },
    {
      ""name"": ""Enforce regular password rotation"",
      ""priority"": 5
    },
    {
      ""name"": ""Implement multi-factor authentication"",
      ""priority"": 6
    },
    {
      ""name"": ""Monitor and log failed login attempts"",
      ""priority"": 7
    },
    {
      ""name"": ""Implement account lockout policies"",
      ""priority"": 8
    },
    {
      ""name"": ""Conduct regular security audits of user accounts"",
      ""priority"": 9
    },
    {
      ""name"": ""Implement password complexity requirements"",
      ""priority"": 10
    }
  ]
}",claude-3-5-sonnet-20241022,1732896991.7456944,11929875373,,,,,
Root/Jailbreak Detection Evasion via Debugging,['Instantiate checks within the application code that ensures debuggers are not attached. '],"{
  ""mitigations"": [
    {
      ""name"": ""Implement anti-debugging checks in application code"",
      ""priority"": 1
    },
    {
      ""name"": ""Use multiple detection methods for debugger presence"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement timing-based debugger detection"",
      ""priority"": 3
    },
    {
      ""name"": ""Monitor process memory for debugging signatures"",
      ""priority"": 4
    },
    {
      ""name"": ""Check for debugging-related system flags and registers"",
      ""priority"": 5
    },
    {
      ""name"": ""Implement code integrity checks"",
      ""priority"": 6
    },
    {
      ""name"": ""Use anti-tampering techniques"",
      ""priority"": 7
    },
    {
      ""name"": ""Implement runtime environment verification"",
      ""priority"": 8
    }
  ]
}",claude-3-5-sonnet-20241022,1732897004.354504,10281827449,,,,,
Escaping a Sandbox by Calling Code in Another Language,"['Assurance: Sanitize the code of the standard libraries to make sure there is no security weaknesses in them. ', 'Design: Use obfuscation and other techniques to prevent reverse engineering the standard libraries. ', 'Assurance: Use static analysis tool to do code review and dynamic tool to do penetration test on the standard library. ', 'Configuration: Get latest updates for the computer. ']","{
  ""mitigations"": [
    {
      ""name"": ""Sanitize standard library code for security vulnerabilities"",
      ""priority"": 1
    },
    {
      ""name"": ""Implement regular security audits of cross-language interfaces"",
      ""priority"": 2
    },
    {
      ""name"": ""Use static analysis tools for code review"",
      ""priority"": 3
    },
    {
      ""name"": ""Perform dynamic penetration testing on standard libraries"",
      ""priority"": 4
    },
    {
      ""name"": ""Apply sandboxing techniques for cross-language calls"",
      ""priority"": 5
    },
    {
      ""name"": ""Implement code obfuscation to prevent reverse engineering"",
      ""priority"": 6
    },
    {
      ""name"": ""Maintain up-to-date system patches and updates"",
      ""priority"": 7
    },
    {
      ""name"": ""Implement strict input validation for cross-language calls"",
      ""priority"": 8
    },
    {
      ""name"": ""Monitor and log all cross-language function calls"",
      ""priority"": 9
    },
    {
      ""name"": ""Enforce principle of least privilege for language interactions"",
      ""priority"": 10
    }
  ]
}",claude-3-5-sonnet-20241022,1732897015.3232179,12329123020,,,,,
Detect Unpublicized Web Pages,[],"{
  ""mitigations"": [
    {
      ""name"": ""Require Authentication for Hidden Resources"",
      ""priority"": 1
    },
    {
      ""name"": ""Use Security Through Obscurity Sparingly"",
      ""priority"": 2
    },
    {
      ""name"": ""Implement Access Control Lists"",
      ""priority"": 3
    },
    {
      ""name"": ""Apply Firewall Rules"",
      ""priority"": 4
    },
    {
      ""name"": ""Monitor Web Server Access Logs"",
      ""priority"": 5
    },
    {
      ""name"": ""Implement Rate Limiting"",
      ""priority"": 6
    },
    {
      ""name"": ""Use Standard File Extensions"",
      ""priority"": 7
    },
    {
      ""name"": ""Configure Web Server Error Messages"",
      ""priority"": 8
    }
  ]
}",claude-3-5-sonnet-20241022,1732897028.305276,10090945243,,,,,
Detect Unpublicized Web Services,[],"{
  ""mitigations"": [
    {
      ""name"": ""Implement Access Control Lists"",
      ""priority"": 1
    },
    {
      ""name"": ""Deploy Web Application Firewall"",
      ""priority"": 2
    },
    {
      ""name"": ""Regular Security Testing and Auditing"",
      ""priority"": 3
    },
    {
      ""name"": ""Strong Authentication Mechanisms"",
      ""priority"": 4
    },
    {
      ""name"": ""Network Segmentation"",
      ""priority"": 5
    },
    {
      ""name"": ""Proper Service Configuration"",
      ""priority"": 6
    },
    {
      ""name"": ""Disable Directory Listings"",
      ""priority"": 7
    },
    {
      ""name"": ""Remove Unnecessary Services"",
      ""priority"": 8
    },
    {
      ""name"": ""Regular Security Updates"",
      ""priority"": 9
    },
    {
      ""name"": ""Implement Security Headers"",
      ""priority"": 10
    }
  ]
}",claude-3-5-sonnet-20241022,1732897039.0500114,13164544105,,,,,
Screen Temporary Files for Sensitive Information,[],"{
  ""mitigations"": [
    {
      ""name"": ""Encrypt sensitive data written to temporary files"",
      ""priority"": 1
    },
    {
      ""name"": ""Automatically delete temporary files as soon as they are no longer needed"",
      ""priority"": 2
    },
    {
      ""name"": ""Use access control lists for temporary files and directories"",
      ""priority"": 3
    },
    {
      ""name"": ""Store temporary files in protected directories"",
      ""priority"": 4
    },
    {
      ""name"": ""Clear sensitive information from temporary files before deletion"",
      ""priority"": 5
    },
    {
      ""name"": ""Implement proper exception handling to prevent sensitive data exposure"",
      ""priority"": 6
    },
    {
      ""name"": ""Use secure temporary file creation methods"",
      ""priority"": 7
    },
    {
      ""name"": ""Monitor temporary file access and usage"",
      ""priority"": 8
    }
  ]
}",claude-3-5-sonnet-20241022,1732897052.864497,9178622961,,,,,
